text,sentiment
Worth every penny,positive
Very disappointing,negative
Nothing special,negative
Worth every penny,positive
Poor performance,negative
It is okay,positive
This is amazing,positive
Worst experience ever,negative
It is okay,positive
This is amazing,positive
Not good at all,negative
Neither good nor bad,negative
Superb performance,positive
I hate this product,negative
The product is fine,positive
Highly recommended,positive
Bad service,negative
Moderate quality,negative
I love this product,positive
Very disappointing,negative
Acceptable experience,positive
Very happy with the service,positive
Waste of money,negative
It works as expected,positive
This is amazing,positive
Very disappointing,negative
Nothing special,negative
Excellent quality,positive
Terrible quality,negative
Nothing special,negative
Fantastic experience,positive
I am unhappy,negative
It is okay,positive
This is amazing,positive
Poor performance,negative
Moderate quality,negative
Fantastic experience,positive
Not good at all,negative
Moderate quality,negative
Very happy with the service,positive
Waste of money,negative
Nothing special,negative
Great value,positive
Extremely frustrating,negative
It is okay,positive
I am extremely satisfied,positive
Waste of money,negative
Acceptable experience,positive
Very happy with the service,positive
I am unhappy,negative
It is okay,positive
I am extremely satisfied,positive
Bad service,negative
It works as expected,positive
Worth every penny,positive
I am unhappy,negative
Average quality,positive
Superb performance,positive
Worst experience ever,negative
Just okay,positive
This is amazing,positive
Extremely frustrating,negative
Acceptable experience,positive
Highly recommended,positive
Worst experience ever,negative
Average quality,positive
Superb performance,positive
Poor performance,negative
Average quality,positive
Excellent quality,positive
Waste of money,negative
No strong opinion,negative
This is amazing,positive
Extremely frustrating,negative
Average quality,positive
Highly recommended,positive
Bad service,negative
Average quality,positive
Excellent quality,positive
Terrible quality,negative
Neither good nor bad,negative
Very happy with the service,positive
Worst experience ever,negative
Just okay,positive
Highly recommended,positive
Not good at all,negative
Moderate quality,negative
This is amazing,positive
Worst experience ever,negative
Nothing special,negative
Fantastic experience,positive
Very disappointing,negative
It works as expected,positive
Superb performance,positive
Terrible quality,negative
It works as expected,positive
Superb performance,positive
Worst experience ever,negative
No strong opinion,negative
Superb performance,positive
I hate this product,negative
Just okay,positive
I am extremely satisfied,positive
I hate this product,negative
It works as expected,positive
Highly recommended,positive
Waste of money,negative
Just okay,positive
Very happy with the service,positive
Extremely frustrating,negative
Moderate quality,negative
Superb performance,positive
Worst experience ever,negative
Acceptable experience,positive
Great value,positive
Extremely frustrating,negative
Acceptable experience,positive
Highly recommended,positive
Extremely frustrating,negative
Nothing special,negative
This is amazing,positive
Terrible quality,negative
Nothing special,negative
Great value,positive
I am unhappy,negative
No strong opinion,negative
Superb performance,positive
Poor performance,negative
Neither good nor bad,negative
Worth every penny,positive
I am unhappy,negative
Just okay,positive
I am extremely satisfied,positive
Poor performance,negative
The product is fine,positive
This is amazing,positive
Worst experience ever,negative
Just okay,positive
I am extremely satisfied,positive
Poor performance,negative
It is okay,positive
Excellent quality,positive
Bad service,negative
Just okay,positive
Excellent quality,positive
Very disappointing,negative
Acceptable experience,positive
Excellent quality,positive
Terrible quality,negative
The product is fine,positive
Great value,positive
I hate this product,negative
It works as expected,positive
Highly recommended,positive
Poor performance,negative
Just okay,positive
Superb performance,positive
Terrible quality,negative
Nothing special,negative
Great value,positive
Not good at all,negative
Just okay,positive
Excellent quality,positive
Very disappointing,negative
Just okay,positive
I am extremely satisfied,positive
Bad service,negative
Acceptable experience,positive
Fantastic experience,positive
Poor performance,negative
Neither good nor bad,negative
Very happy with the service,positive
Terrible quality,negative
Moderate quality,negative
Very happy with the service,positive
Poor performance,negative
Neither good nor bad,negative
Superb performance,positive
Bad service,negative
Neither good nor bad,negative
I love this product,positive
Very disappointing,negative
Acceptable experience,positive
Fantastic experience,positive
Terrible quality,negative
Neither good nor bad,negative
Great value,positive
Very disappointing,negative
It works as expected,positive
Very happy with the service,positive
I am unhappy,negative
No strong opinion,negative
I am extremely satisfied,positive
Bad service,negative
No strong opinion,negative
Worth every penny,positive
Poor performance,negative
No strong opinion,negative
Very happy with the service,positive
Extremely frustrating,negative
Moderate quality,positive
Excellent quality,positive
